local_time,telemetry_ts,left_angle,right_angle,angle_diff,phase_left,phase_right,assist_left,assist_right,assist_enabled
2026-04-01 16:46:31.591,1775033191.882231,0.038158,-0.028954,0.067113,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.622,1775033191.919635,0.038158,-0.029338,0.067496,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.666,1775033191.961242,0.037775,-0.029338,0.067113,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.677,1775033191.998369,0.038158,-0.028954,0.067113,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.700,1775033192.041361,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.726,1775033192.077562,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.807,1775033192.113299,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.826,1775033192.151004,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.848,1775033192.189290,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.889,1775033192.227960,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.950,1775033192.272355,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:31.981,1775033192.310370,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.008,1775033192.348098,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.055,1775033192.383914,0.037775,-0.029338,0.067113,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.115,1775033192.421495,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.134,1775033192.458993,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.151,1775033192.494322,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.296,1775033192.532700,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.324,1775033192.568558,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.345,1775033192.606426,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.529,1775033192.648238,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.556,1775033192.685741,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.569,1775033192.722107,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.584,1775033192.756841,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.599,1775033192.794364,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.663,1775033192.830617,0.037391,-0.028954,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.676,1775033192.872612,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.685,1775033192.910344,0.037775,-0.028571,0.066346,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.791,1775033192.947807,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.803,1775033192.982684,0.038158,-0.028954,0.067113,0.000000,3.141593,0.000000,0.000000,0
2026-04-01 16:46:32.811,1775033193.020259,0.037775,-0.028954,0.066729,0.000000,3.141593,0.000000,0.000000,0
